"Date","Price","Open","High","Low","Vol.","Change %"
"18-08-2025","55,304.25","55,379.80","55,775.40","55,223.90","61.41M","1.19%"
"14-08-2025","54,656.30","55,089.05","55,139.55","54,573.75","24.40M","-0.64%"
"13-08-2025","55,010.15","55,135.00","55,229.55","54,771.50","26.09M","-0.04%"
"12-08-2025","55,034.45","55,336.50","55,596.65","54,973.40","25.55M","-0.50%"
"11-08-2025","55,309.90","54,855.30","55,352.60","54,630.90","23.48M","0.74%"
"08-08-2025","54,900.95","55,343.95","55,517.90","54,844.65","22.21M","-0.72%"
"07-08-2025","55,298.50","55,156.35","55,430.25","54,950.90","24.20M","0.12%"
"06-08-2025","55,230.80","55,728.55","55,778.60","55,097.35","22.88M","-0.90%"
"05-08-2025","55,733.70","56,202.45","56,231.40","55,584.85","23.67M","-0.72%"
"04-08-2025","56,139.65","56,336.65","56,431.30","55,979.10","36.22M","-0.10%"
"01-08-2025","56,197.05","55,982.00","57,032.90","55,974.80","44.30M","0.69%"
"31-07-2025","55,812.15","54,695.80","56,120.40","54,694.90","49.87M","1.44%"
"30-07-2025","55,020.40","54,906.70","55,105.25","54,730.60","48.15M","0.24%"
"29-07-2025","54,891.15","54,733.00","54,943.60","54,473.30","44.30M","0.29%"
"28-07-2025","54,732.95","54,593.75","55,050.25","54,510.65","28.71M","0.28%"
"25-07-2025","54,579.95","55,046.00","55,046.00","54,463.30","23.44M","-0.92%"
"24-07-2025","55,085.85","55,859.60","56,015.50","55,020.95","34.28M","-1.12%"
"23-07-2025","55,710.35","56,163.75","56,221.30","55,586.65","31.67M","-0.52%"
"22-07-2025","56,003.95","56,286.80","56,288.55","55,939.35","24.52M","-0.39%"
"21-07-2025","56,222.70","56,496.85","56,541.80","56,086.55","19.49M","-0.50%"
"18-07-2025","56,506.90","56,943.35","56,943.35","56,388.20","25.11M","-0.59%"
"17-07-2025","56,843.05","56,751.20","57,017.15","56,665.40","35.51M","0.28%"
"16-07-2025","56,685.55","56,452.90","56,791.50","56,286.05","41.90M","0.45%"
"15-07-2025","56,429.05","56,170.60","56,465.80","56,033.35","24.35M","0.72%"
"14-07-2025","56,025.60","55,903.70","56,080.55","55,743.00","28.03M","0.21%"
"11-07-2025","55,910.25","56,023.35","56,349.90","55,792.40","35.18M","0.51%"
"10-07-2025","55,628.20","56,026.60","56,074.85","55,576.70","20.53M","-0.57%"
"09-07-2025","55,946.20","55,526.40","56,028.15","55,523.45","39.08M","0.80%"
"08-07-2025","55,504.00","55,624.35","55,753.00","55,283.00","25.32M","-0.27%"
"07-07-2025","55,652.85","54,874.00","55,691.75","54,859.95","42.91M","1.68%"
"04-07-2025","54,735.60","54,699.20","54,799.35","54,550.10","26.38M","0.40%"
"03-07-2025","54,515.75","54,570.95","54,802.90","54,379.50","30.80M","0.14%"
"02-07-2025","54,439.70","54,620.60","54,643.50","54,293.90","35.53M","-0.12%"
"01-07-2025","54,502.95","54,997.50","55,022.05","54,396.95","30.24M","-0.69%"
"30-06-2025","54,883.90","55,203.50","55,268.15","54,698.15","35.32M","-0.41%"
"27-06-2025","55,109.00","55,246.50","55,298.35","55,044.75","47.48M","-0.02%"
